Combinacion,Precision,Recall,F_score_macro,Accuracy
k=1 p=1 uniform,0.9722,0.9630,0.9659,0.9667
k=1 p=1 distance,0.9722,0.9630,0.9659,0.9667
k=1 p=2 uniform,1.0000,1.0000,1.0000,1.0000
k=1 p=2 distance,1.0000,1.0000,1.0000,1.0000
k=3 p=1 uniform,1.0000,1.0000,1.0000,1.0000
k=3 p=1 distance,1.0000,1.0000,1.0000,1.0000
k=3 p=2 uniform,1.0000,1.0000,1.0000,1.0000
k=3 p=2 distance,1.0000,1.0000,1.0000,1.0000
k=5 p=1 uniform,1.0000,1.0000,1.0000,1.0000
k=5 p=1 distance,1.0000,1.0000,1.0000,1.0000
k=5 p=2 uniform,1.0000,1.0000,1.0000,1.0000
k=5 p=2 distance,1.0000,1.0000,1.0000,1.0000
